id,datum,voornaam,patroniem,inhoud,bron,getuigen,bijzonderheden
2011706,1489-11-19,Cornelis ,Adriaensz,"leen van Vianen: no 701) een viertel in Outena, Jan Heimericsz; 1543-07-18: Jan Heimeircsz de oude, te komen op zijn oudste broer Jan Heimericsz de jonge, die zal uitreiken aan: 1) zijn broer Cornelis 70 Kar gld, 2) zijn zuster Belie 30 Kar gld, 3) zijn nicht Antonia 21 Kar gld, 4) diens neef Cornelis Adriaensz 7 Kar gld, 5) Hase en Neeltje, dochters van Dirk Adriaensz 14 Kar gld",Ons Voorgeslacht 07/08 1988 p 316,,
2011707,"1515, 1516",Cornelis ,Adriaen Ockersz.z,Raad van Dordrecht: Cornelis Adriaen Ockersz.z,"Balen: Dordrecht p 306, 307",,
2011708,1577-12-22,Cornelis ,Albertsz,"Cornelis Albertsz lyndraijer verkoopt aan de stad Alkmaar een huisje aan de westzijde van het Ritsevoort (verdolven bij de fortificatie); 1577-03-30: hij verkoopt aan de stad een lijnbaan, groot 85 roeden, op het Ritsevoort (verdolven bij de vergroting van de stad)","Bruinvis Aanv Inv Arch I p 92, 108",,
2011709,1541,Cornelis ,Alewynsz,"Cornelis Alewynsz c.s, huurders van 29 morgen land te Zoeterwoude, eigenaar: Philips Reyersz, proces","Grote Raad Mechelen Beroepen Holland dl V dossier 431, 443/3",,
2011710,1558-01-03,Cornelis ,Anthonisz,schepen van Amsterdam: Cornelis Anthonisz,Grote Raad Mechelen Beroepen Holland dl VI dossier 537/6 sub J,,
2011711,1594-05-13,Cornelis ,Anthonisz,"leen van Amstel: no  41) 5 morgen in Ouder Amstel in Tyman Vogelszate (nu Gerrit Jacobszate), beleend Anthonis Wolfertsz bij overdracht door Claas Stoel Walichsz voor Anthonis broer Cornelis Wolfertsz, van Amsterdam, die ziek is; 1636-01-25: Cornelis Cornelisz voor zijn vader Cornelis Anthonisz, te Amstelveen, met de helft na dode van diens vader Anthonis Wolfertsz en Jan Anthonisz, broer van Cornelis met de andere helft",Ons Voorgeslacht 09-1988 p 376,,
2011712,1544-12-22,Cornelis ,Aertsz,secretaris van Delft: mr Cornelis Aertsz,Grote Raad Mechelen Beroepen Holland dl V dossier 445,,
2011713,1514-09-20,Cornelis ,Barthelmeusz,"Cornelis Barthelmeusz, uit Goes, heft rente op goederen van de heer van Cruiningen in Swaak bij Wemeldinge, quitantie",Grote Raad Mechelen Beroepen Holland dl IV dossier 347/10,,
2011714,1564-1566,Cornelis ,Barthelmeusz,"Appollonia van Zweeten, weduwe van Cornelis Bartholomei, had Daniel van der Heyde opgevoed. Na de dood van haar man voerde zij een aantal processen met Daniel die een aandeel in de tienden van grond te Stompwijk opeiste; Daniel verloor voor het Hof, in 1564 ging hij, mede namens zijn broer Laureys, in appèl bij de Grote Raad; 1565-12-24: ook hier werd Daniel in het ongelijk gesteld, en veroordeeld in de kosten",Grote Raad Mechelen Beroepen Holland dl VII dossier 602,,
2011715,1493-1497,Cornelis ,Claesz,"Cornelis Claesz en zijn vader Claes Pietersz, ontvanger van het kwartier van Vere",Grote Raad Mechelen Beroepen Holland dl II dossier 170,,
2011716,1509,Cornelis ,Claesz,"mr Cornelis Claesz en Hughe Pieter Lievensz, secretarissen [achtereenvolgens ?] van de stad Middelburg, leggen getuigenverklaringen af",Grote Raad Mechelen Beroepen Holland dl III  dossier 230,,
2011717,1527-02-03 (1526),Cornelis ,Claesz,"Cornelis Claesz, ambachtsbewaarder van de Escamp",Grote Raad Mechelen Beroepen Holland dl IV dossier 340 (346 ?),,
2011718,1544-1546,Cornelis ,Claesz,"Cornelis Claesz, van Eynchusen, huwde met Gertruid Hermansdochter, die na de dood van haar man mr Zeger Volkertsz (in 1536) diens proces tegen Claes Pauwelsz voortgezet had; zowel in het Hof als in de Grote Raad door Cornelis verloren",Grote Raad Mechelen Beroepen Holland dl V dossier 440,,
2011719,1576-03-20,Cornelis ,Claesz,"Cornelis Claesz, van Leiden, 1e deurwaarder van het Hof van Holland",Grote Raad Mechelen Beroepen Holland dl VII dossier 640/5,,
2011720,1468-07-28,Cornelis ,Baerntsz,schepen van Zierikzee: Cornelis Baerntsz,Coll Aanw 240 fol 1017,,
2011721,1621-06-17,Cornelis ,Bouwensz,"leen van Amstel: no 35A) ½ van 60 morgen land genaamd Hofland in Ouder Amstel bijde berg, (naast) het terrein van de burcht, Tyman Bouwensz te Ouderkerk, ook voor zijn broers Cornelis, Jacob en zijn zuster Teuntje, na dode van zijn vader Boudyn Arentsz; 35c) 1627-05-13: de helft van het leen, Tyman Bouwensz voor zijn neef Bouwen Cornelisz, bij dode van diens vader Cornelis Bouwensz",Ons Voorgeslacht 09-1988 p 371,,
2011722,1540-1558,Cornelis ,Claesz,burgemeester of schepen van Alkmaar: Cornelis Claesz; stierf 1563-04-15,"Bruinvis: Alkmaar no 90, p 24",,
2011723,1430,Cornelis ,Claesz,"Cornelis Claesz en zijn zuster Kateline, Zierikzee, rente op Haarlem op hun leven tbv Jacob Haddenz en zijn vrouw Margriet, 6 £ 18sc 8d (184 fol 80); hun rente: 1431 (fol 33v) 7 £ 6sc 8d, 1432 (fol 23v) 7 £ 14sc 8d, 1434 (188 fol 13v) 8 £ 16sc, 1435-1436 (189 fol 43v) 12£ 5sc 4d, 1441-1442 (fol 17) 6£ 8sc, 1442-1443 (fol 38v) 7£",Thesauriersrekening Haarlem,,
2011724,1439-1440,Cornelis ,Claes Marcelysz,"de dochter van Cornelis Claes Marcelysz, Dordrecht, haar rente van 18 R gld op Haarlem, maakt 23 £ 8sc (fol 52)",Thesauriersrekening Haarlem,,
2011725,1598,Cornelis ,Claesz,"Cornelis Claesoens, Vlissingen, studeert te Orleans",Bijdr Hist Gen Utrecht dl 34 p 318,,
2011726,1614-03-27,Cornelis ,Claesz,"leen van Amstel: no 63) 3 morgen bij de wildernis van Bylmerbroec aan de Bancmeer, Pieter Visser Cornelisz draagt het leen over aan zijn broer Claes Cornelisz; 1626-11-19: Heussen Cornelisz voor zijn neef Cornelis Claesz, bij dode van diens vader Claes Cornelisz; 1631-11-19: Cornelis Jacobsz te Bylmerbroec voor zijn zwager Jan Claesz, bij dode van diens broer Cornelis Claesz; 1632-09-15: Cornelis Jacobsz te Bylmerbroec voor zijn vrouw Jannetje Claesdochter, bij dode van haar broer Jan Claesz",Ons Voorgeslacht 09-1988 p 385,,
2011727,1616-12-15,Cornelis ,Claesz,"Cornelis Claesz, van Schoten, koopt van Claes Fredericsz, van Heemstede, ""het Laerken"" van 3 ½ hont [Schoten]","Protocol Schoten, Haarlemmerliede en Akendam fol 35v",,
2011728,1624-1638,Cornelis ,Claesz,"schepen van Dordrecht: Cornelis heer Claesz; 1639-06-07: kwam in zijn plaats Jan van Haerlem Rochusz; 1624: Cornelis Claesz kwam in plaats van mr Johan van de Wolde (?), die stierf",Balen: Dordrecht p 333-337,,
2011729,1554-10-28,Cornelis ,Cornelisz,"Cornelis Cornelisz, uit Zierikzee, betaalt tolgeld te Gorinchem",Grote Raad Mechelen Beroepen Holland dl I dossier 75/12,,
2011730,1561~,Cornelis ,"Zuyren, van",Cornelis van Zuyren en Heyndrik Coninck tot Haarlem verhuren 3592 roeden te Heemskerk voor 51 Kar gld,Kohier 10e penning Heemskerk,,
2011731,1560-1561,Cornelis ,Danielsz,Cornelis Danielsz vertegenwoordigt gasthuismeesters te Zierikzee,Grote Raad Mechelen Beroepen Holland dl VI dossier 559/2,,
2011732,"1633, 1634",Cornelis ,Dionysz,"Raad van Dordrecht: Cornelis Dionysz, stierf 1635-03-28",Balen: Dordrecht p 336,,
2011733,1531,Cornelis ,Enghelsz,Cornelis Enghelsz tot Aelbrechtsberch heeft de kerk besproken 3 R gld,Kerkelijke Rek Haarlem fol 8,,
2011734,1545-08-08,Cornelis ,Egbertsz,Heilige Geestmeester te Heineoord: Cornelis Egbertsz,Grote Raad Mechelen Beroepen Holland dl V dossier 457/2,,
2011735,"1574, 1577, 1578",Cornelis ,Evertsz,"schepen van Dordrecht: Cornelis Evertsz, op 1573-09-28 schepen geworden",Balen: Dordrecht p 323,,
2011736,1539-06-11,Cornelis ,Ewout Hughez,Cornelis Ewout Hughez uit Zierikzee attesteert aldaar,Grote Raad Mechelen E.A. Dossiers dl III dossier 2762,,
2011737,1558-05-13,Cornelis ,Gerbrandsz,"leen van Vianen: no 650A) 4 morgen afgesplitst van no 650) te Lexmond, belend boven: Cornelis Gerbrandsz, beneden: Marcus Dircsz, beleend Jan Dircsz bij overdracht door Marcus Dircsz",Ons Voorgeslacht 07-1988 p 289,,
2011738,1430,Cornelis ,Gherytsz,"Cornelis Gherytsz gehuwd met Lysbeth Willem Huijmanszdochter: rente op Haarlem ½ jaar 4 £ 6sc (184 fol 89v); 1440: (195 fol 70) Lysbeth met haar zoon Ewout, ½ jaar rente 4 £; 1429-1430: (fol 11v) Lysbeth Willem Huijmanszdochter, vrouw van Cornelis Gherytsz en hun zoon Eelbout, kopen lijfrente van 6 Wilh scilden op Haarlem voor 70 £ 15sc 3d; 1431-1432: (fol 41v) Cornelis Gherytsz, zijn rente 9£ 4sc; 1432-1433: idem 10£; 1433-1434: idem 10£; 1434: (188 fol 22v) Cornelis Gherytsz en Jacomina Cornelisdochter, hun rente 5£ 2sc; (fol 23v) Lysbeth Willem Hymanszdochter Cornelis Gherytsz en haar zoon Ewout 5£ 2sc 1435-1436: (189 fol 59v) Lysbeth Willem Humanszdochter vrouw van Cornelis Gerytsz en haar zoon Ewout 3£ 14sc 7½d; 1442-1443: (fol 61v) Lysbeth Willem Humansdochter 8£ 8sc",Thesauriersrekening Haarlem,,
2011739,1430,Cornelis ,Gherytsz,"Cornelis Gheryt Jansz.z, Dordrecht, en zijn dochter Jacomijne, rente op Haarlem ½ jaar 4 £ 6sc (184 fol 89v); 1440: (195 fol 70) ½ jaar rente 4 £; 1429-1430: (fol 11v) Cornelis Gheryt Jansz.z en zijn dochter Jacomyn kopen een lijfrente van 6 Wilh scilde per jaar op Haarlem voor 70£ 15sc 3d; 1435-1436: (fol 59) hun rente 3£ 4sc 7½d; 1442-1443: zijn rente 8£ 8sc (fol 61); 1453-1454: (fol 42v) gegeven den erfgenamen van Gheryt Jansz te Dordrecht, van 5 jaar renten 3£",Thesauriersrekening Haarlem,,
2011740,1437,Cornelis ,Gherytsz,Acht van Dordrecht: Cornelis Gerritsz,Balen: Dordrecht p 289,,
2011741,"1485, 1489, 1490",Cornelis ,Gherytsz,schepen van Dordrecht: Cornelis Gerritsz,"Balen: Dordrecht p 299, 300",,
2011742,1495-08-16,Cornelis ,Gerrit Woutersz,"leen van Vianen: no 695A) de helft van ½ hoeve in Outena, Cornelis Gerrit Woutersz na overdracht door Rutger Woutersz, met lijftocht van zijn moeder Heiltje Gerritsdochter",Ons Voorgeslacht 07/08-1988 p 311,,
2011743,1498-1506,Cornelis ,Gheryt Jansz,tollenaar te Gorcum: Cornelis Geryt Jansz,Grote Raad Mechelen Beroepen Holland dl I dossier 16,,
2011744,1499-1512,Cornelis ,Gherytsz,tollenaar te Gorcum en Schoonhoven: Cornelis Gerritsz,Grote Raad Mechelen Beroepen Holland dl III dossier 3247,,
2011745,1546-12-15,Cornelis ,Gheryt Ottenz,"Cornelis Gheryt Ottenz ""bezichtigt"" een nieuwbouw- houten model aan de noordzijde van het Y te Amsterdam; 1541-1547: zijn vader Gerrit Ottenz verkocht in 1531 een huis en timmerwerf aan de noordzijde van het Y achter het Hoge huis; proces tussen Symon Ottenz als voogd over de kinderen van Gheryt Ottenz en Cornelis Gheryt Ottenz, poorters van Amsterdam, contra Meus Adamsz, houtcoper, als koper van het huis",Grote Raad Mechelen Beroepen Holland dl V dossier 453/4,,
2011746,1535-11-22,Cornelis ,Dircsz,"mr Cornelis Dirksz, regent van het H Sacramentshof te Delft",Grote Raad Mechelen Beroepen Holland dl IV dossier 369,,
2011747,1541,Cornelis ,Dircsz,Cornelis Dircsz koopt in 1525 een losrente van 1 £ 10sc Vls en in 1527 nog een rente van 129 Kar gld onder verband van 29 morgen land in het ambacht van Zoeterwoude; 1532-01-23: sententie tot betaling van de rente te zijner behoeve door het Hof van Holland; 1532-06-11: executioriale verkoop; vele schuldeisers van Philips opponeerden; 1541: het Hof stelt een lijst van preferente schuldeisers vast,Grote Raad Mechelen Beroepen Holland dl V dossier 431,,
2011748,1554-1557,Cornelis ,Dircsz,"Cornelis Dircsz c.s, in 1549 schotgaarders in Bergambacht contra de ambachtsheer aldaar",Grote Raad Mechelen Beroepen Holland dl VI dossier 518,,
2011749,1508-1530,Cornelis ,Gerritsz,schepen van Alkmaar: Cornelis Gerritsz,Bruinvis: Alkmaar p 24,,
2011750,1561-04-10,Cornelis ,Dircsz,"Cornelis Dircsz alias Cornelis Meynsz, wonende in den dorpe van Velsen, is schuldig aan Meynert van Heussen, een losrente van 30 Brabantse stuivers",G.A. Haarlem Recht Arch 83 fol 3,,
2011751,1583-11-15,Cornelis ,Dircsz,"Cornelis Dirksz, in de drie klokkies, zijn weduwe Tryntie Pieters wordt moeder van het nieuwe gasthuis te Delft",Bortet: Delft p 335,,
2011752,1597-01-29,Cornelis ,Dircsz,"leen van Vianen: no 712A) een gedeelte van een hof, aan de voorzijde 7 roeden 2 ½ voet, en achter 3 roeden 10 voet breed, aan de westzijde van Vianen, Cornelis Dircsz na overdracht door Cornelis Fransz; 1605-01-16: Cornelis Gerritsz voor zijn vrouw Antonia Cornelisdochter, na dode van haar vader Cornelis Dirksz, achter strekkende aan Joost Cornelisz, belend oost: Jasper Cornelisz",Ons Voorgeslacht 07-1988 p 324,,
2011753,1465-11-12,Cornelis ,Engbertsz,"leen van Vianen: no 666) Lexmond, 3 morgen met huis en berg op Cortenover, Jan Symonsz; 1504-07-13: Symon Jansz na dode van zijn vader Jan Symonsz; 1530-12-29: Engbert Symonsz na dode van zijn vader Symon Jansz; 1542-10-11: Cornelis Engbertsz na dode van zijn vader Engbrecht Symonsz; 1559-04-15: Cornelis Engbrechtz met lijftocht van zijn vrouw Elisabeth Arnoutsdochter, te versterven in de boedel voor 300 gld; 1564-10-19: Engbrecht Cornelisz na dode van zijn vader Cornelis Engbrechtsz, zijnde een hoeve toebehorende aan de weduwe en kinderen van Cornelis Engbrechtsz; 1569: Engbert Cornelisz, te Lexmond, gebruikt door hemzelf, 21£ per jaar waard; 1601-02-06: Engbert Cornelisz draagt het leen over",Ons Voorgeslacht 07/08-1988 p 298,,
2011754,1605-01-16,Cornelis ,Gerritsz,"leen van Vianen: no 689A) ½ hoeve in Outena, Cornelis Gerritsz voor zijn vrouw Antonia Cornelisdochter, na dode van haar vader  Cornelis Dirksz; 1633-03-15: Hendrik Prins Cornelisz, ook voor zijn broers en zusters, na dode van hun moeder Antonia",Ons Voorgeslacht 07/08-1988 p 308,,
2011755,1614~,Cornelis ,Dircsz,"Thys Jacobsz en Thys Cornelisz, mede namens zijn broer Gerrit Cornelisz en zijn 2 zusters, verkopen aan Adriaen en Jan Cornelisz 5 hont 20 roeden weiland met ⅕ van het huis daarop; het leen ligt gemeen met 4 morgen 1 hont van Cornelis Dircsz, bij het Leprooshuis, belast met 3 braspenning erfpacht","Protocol Schoten, Haarlemmerliede en Akendam fol 125",,
2011756,1620-01-09,Cornelis ,Dircsz,"Cornelis Dircsz, van Beverwijk, koopt van Ysbrand Cornelisz van Schoorl e.a, kinderen van Maritgen Ysbrandsdochter, een stuk land en nog een ackertje met de koper gemeen [Akendam], erfpacht 19 st 12 penn, koopsom 2050 gld","Protocol Schoten, Haarlemmerliede en Akendam fol 136, 137",,
2011757,1612-05-05,Cornelis ,Gerritsz,"Cornelis Jansz is schuldig aan Jannetge Cornelisdochter een losrente van 6 gld 5st te betalen op 1 december (fl 300 hoofdsom, voldaan 1619-09-18), onderpand: opstal en getimmerte op grond en land aan Kruisweg, in huur van Cornelis Gerritsz in Zuid Akendam","Protocol Schoten, Haarlemmerliede en Akendam fol 122",,
2011758,1526,Cornelis ,Doensz,"Cornelis Doensz en zijn zoon mr Willem, van Delft, gedaagd door Adriaen Stalpert van der Wiele, rentmeester van Kennemerland",Grote Raad Mechelen Beroepen Holland dl IV dossier 338,,
2011759,1477-1479,Cornelis ,Gillisz,"Cornelis Gillisz, als schepen van Zierikzee, van malversaties beschuldigd en gevangen gezet; bij arbitrale uitspraak veroordeeld tot een boete van 80 £ Vls en 50.000 stenen tbv de St Lievenskerk; hij onttrok zich aan deze uitspraak en kreeg daarom door burgemeesters en schepenen een boete van 60£ opgelegd; 1477-08-05: arbitrale uitspraak",Grote Raad Mechelen Beroepen Holland dl II dossier 107,,
2011760,1487,Cornelis ,Gillisz,"Cornelis Gillisz had een schor in de haven van Dirksland, bedijkt en in bezit genomen buiten medeweten van de heer en vrouwe van Ravesteyn; Adriaen Cornelisz en zijn broers, kinderen van Cornelis Gillisz, legden geruime tijd daarna een dam aan die de schor met de dijk van Melissant (verbond ?), waardoor Sommelsdijk grote schade ondervond",Grote Raad Mechelen Beroepen Holland dl II dossier 188,,
2011761,1500~1550,Cornelis ,Gillisz,"Cornelis Gillisz en Willem Pieter Arentsz dreven gezamenlijk handel in zout, waardoor Willem aan Cornelis 40 £ schuldig was: geschillen over de betaling, beslag op huis en zoutkeet [Zierikzee ?]",Grote Raad Mechelen Beroepen Holland dl VII dossier 666,,
2011762,1527-09-09,Cornelis ,Gillisz Muyen,"Cornelis Gillisz Muyen, notaris [te Naarden ?] ",Grote Raad Mechelen Beroepen Holland dl IV dossier 352/2,,
2011763,1496-1500,Cornelis ,Ghysbrechtsz,"Cornelis Ghysbrechtsz, poorter van Schoonhoven, pachter van de makelaardie te Dordrecht",Grote Raad Mechelen Beroepen Holland dl II dossier 193,,
2011764,1516-1517,Cornelis ,Ghysbrechtsz,"Cornelis Ghysbrechtsz, inwoner van Rijnsburg ?, gebruiker van land van de abdij Rijnsburg te Oegstgeest",Grote Raad Mechelen Beroepen Holland dl III dossier 265,,
2011765,1527-04-18,Cornelis ,Heynricsz,"Cornelis Hendriksz, secretaris van Montfoort",Grote Raad Mechelen E.A. Dossiers dl III dossier 2791/2 sub g/1,,
2011766,1543-03-01,Cornelis ,Heynricsz,"Cornelis Heynricsz, gemachtigde van het klooster Eemsteyn bij een uitspraak door landschepenen van Altena",Grote Raad Mechelen Beroepen Holland dl V dossier 442/1 sub e,,
2011767,1534-1535,Cornelis ,Heynricsz,"Geertruid Pieter Aerntszdochter, weduwe van Cornelis Heynricsz contra de schout van Tholen, optredend voor Jan Thoensz en Engel Henricz, erfgenamen van Cornelis Heynricsz: erfeniskwestie; zij woont te Oudelande (Schakerlo) op Tholen",Grote Raad Mechelen Beroepen Holland dl IV dossier 387,,
2011768,1552-1560,Cornelis ,Heyn Arentsz,"Cornelis Heyn Arentsz x Maritgen van Dijk, stierf in 1538, weduwe van Willem Pietersz van Dijk; Willem Cornelisz van Dijk huwde, terwijl hij al de pest had, met de moeder van zijn onwettige kinderen Jannetje Jansdochter van Leeuwen (huwelijksvoorwaarden dd 1535-08-06); de kinderen: bastaard Adriaan, stierf voor 1533, bastaard Maritgen, stierf jong",Grote Raad Mechelen Beroepen Holland dl VI dossier 523,,
2011769,1556-1571,Cornelis ,Heynricsz,"de erfgenamen van Cornelis Henricsz: 1) Ewoudt Zegersz x Elysabeth Arentsdochter, 2) Adriaen Henricsz x Annetge Arentsdochter, beiden wonende te Gorinchem, 3) Jacob Cornelisz, wonende te Zonnemere, contra Lenert Engelsz Cramme, te Zierikzee: eiser [sic] had van zijn tante [!] Maryken Lourisdochter, vrouw van Cornelis Henricsz alias Hallines Niels, de helft van een huis en erf aan de noordzijde van de haven van Zierikzee gekocht; Cornelis Henricsz legateerde hem de andere helft; aan de kinderen van Lenert Engelsz legatieerde hij zijn kleren, deswege werd hij in september 1556 voor het gerecht van Zierikzee gedaagd, die hem in het ongelijk stelden; eisers eisen ¼ van huis en erf en de helft van de kleren en restitutie van genoten vruchten en inventaris van de kleding",Grote Raad Mechelen Beroepen Holland dl VI dossier 543,,
2011770,1553-04-11,Cornelis ,Hobbez,schepen van Zevenhuizen (Schieland): Cornelis Hobbez (1553-06-27),"Grote Raad Mechelen Beroepen Holland dl I dossier 73/3, 72/10 sub A",,
2011771,1496-1517,Cornelis ,Heymansz,Raad of schepen van Dordrecht: Cornelis Heijmansz,Balen: Dordrecht p 302-307,,
2011772,1460-1493,Cornelis ,Heynricsz,"Raad of schepen van Dordrecht: Cornelis Heynricsz of Cornelis Henrice Cornelisz; 1512, 1515, 1516, 1519: Raad of schepen, Hendrik Cornelis Hendriksz.z","Balen: Dordrecht p 293, 296, 297, 301, 307, 307",,
2011773,1564-1573,Cornelis ,Heynricsz,schepen van Dordrecht: Cornelis heer Heynricsz,Balen: Dordrecht p 320-322,,
2011774,1451,Cornelis ,Heynricsz,"Cornelis Henrici studeerde 1451 te Orleans, hij komt van Zierikzee",Bijdr Hist Gen Utrecht dl 34 p 327,,
2011775,1468-02-24,Cornelis ,Heynricsz,"schrifturen voor het Hof tegen Cronelis Heynricsz ingediend door Jan Ysbrandsz en Aelbrecht van Loo (1468-03-09, 1468-03-10)","Coll Aanw 238 fol 318v, 337v, 360",,
2011776,1468-08-01,Cornelis ,Heynricsz,Cornelis Henricsz contra Jan Ysbrantsz en Albrecht van Loo (1468-08-04),"Coll Aanw 240 fol 1033, 1043v",,
2011777,1473-1474,Cornelis ,Heyn,Cornelis Heyn koopt voor 5sc 6d twee oirkussen uit een boedel te Beverwijc (905 fol 21v),Rek Rentmeester Kennemerland,,
2011778,1563-06-26,Cornelis ,Heynricsz,"Cornelis Hendriksz hield in leen de helft van ½ hoeve land in Neer Langbroek, groot 4 morgen, belend: de heren van de Dom, strekkende uit de Langbroeker- tot de Goyer wetering",Repert Stichtse Leenprotocollen p 500,,
2011779,1568-05-26,Cornelis ,Heynricsz,"Cornelis Henricsz verkoopt aan de stad Alkmaar een ledig erf bezuiden de Friese poort, aan de stadvest en de Nieuwe Sloot",Bruinvis: Aanv Inv Arch p 84,,
2011780,1430,Cornelis ,Hughe Jansz.z,"Bely Wouter Voppenzsdochter, moeder van Cornelis Hughe Jansz.z, haar broer Voppe Wouter Voppenz.z, rente op Haarlem 14 Wilh sc 184 £ 16sc (184 fol 18); 1440: idem rente van ½ jaar 9 £ 6sc 8d (195 fol 98, 101v); 1432-1433: (fol 35) Cornelis Hughe Jansz.z, zijn rente 11 £ 13sc 4d; 1433-1434: (fol 29) 11£ 13sc 4d; 1434: (188 fol 23v) Cornelis Hughe Jansz.z en Voppe Wouter Voppenz.z, by handen Belye Wotuer Voppenzdochter gegeven so zij hoer leefdage lang heffer is, 7 Wilh sc, facit 11£ 18sc; 1435-1436: (fol 72) als hiervoor 8£ 12sc 8d; 1442-1443: (fol 68) Cornelis Huge Jansz.z 9£ 16sc",Thesauriersrekening Haarlem,,
